"region";"species";"mean_value";"sd_value";"count_obs"
"99";"EEB";"Cabass";0.000169491525423729;0.00130188910980824;59
"100";"EEB";"Certho";0.00186440677966102;0.00392804956039492;59
"101";"EEB";"Tapter";0.0011864406779661;0.00326144973197179;59
"102";"EEB";"Didelp";0.0883050847457627;0.267144236788971;59
"103";"EEB";"Dasypr";0.00135593220338983;0.00392060301424722;59
"104";"EEB";"Cunpac";0.433220338983051;0.633094318511008;59
"105";"EEB";"Procan";0.000847457627118644;0.00280893622840437;59
"106";"EEB";"Mirtri";0.000508474576271186;0.00221571877771722;59
"107";"EEB";"Tamtet";0.000677966101694915;0.00253554508841448;59
"108";"EEB";"Dasypu";0.211186440677966;0.353963200628514;59
"109";"EEB";"Mazama";0.00101694915254237;0.00304841126187198;59
"110";"EEB";"Nasnas";0.148474576271186;0.323727288162599;59
"111";"EEB";"Dictaj";0.407627118644068;0.598634477684496;59
"112";"EEB";"Taypec";0.142033898305085;0.369570018847705;59
"113";"APA-SFX";"Cabass";0.00403846153846154;0.00495454451107437;52
"114";"APA-SFX";"Certho";0.00365384615384615;0.00525015262293417;52
"115";"APA-SFX";"Tapter";0.00307692307692308;0.0046604138242837;52
"116";"APA-SFX";"Didelp";0.349038461538462;0.569369309197827;52
"117";"APA-SFX";"Dasypr";0.00269230769230769;0.00447887617880174;52
"118";"APA-SFX";"Cunpac";0.378076923076923;0.585310504026436;52
"119";"APA-SFX";"Procan";0.005;0.00577350269189626;52
"120";"APA-SFX";"Mirtri";0.00326923076923077;0.00513395228487258;52
"121";"APA-SFX";"Tamtet";0.00461538461538462;0.00540933777308166;52
"122";"APA-SFX";"Dasypu";0.486538461538462;0.731211416586616;52
"123";"APA-SFX";"Mazama";0.00288461538461538;0.00457466958478476;52
"124";"APA-SFX";"Nasnas";0.00269230769230769;0.00447887617880174;52
"125";"APA-SFX";"Dictaj";0.00346153846153846;0.00519600728486538;52
"126";"APA-SFX";"Taypec";0.0025;0.00437237316097603;52
