"";"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"BI.SP[26,7,9]";221,52;259,376420793858;0;0;160;320;960;1,00080352326729;2000
"BI.SP[27,7,9]";362,64;240,884293845637;160;160;320;480;960;1,0001146349534;2000
"BI.SP[28,7,9]";201,68;245,213462968923;0;0;160;320;800;1,00439345741242;940
"BI.SP[29,7,9]";387,84;267,473934342723;160;160;320;480;1120;1,00411620334156;610
"BI.SP[30,7,9]";192,08;235,987115239964;0;0;160;320;800;1,00055296660551;2000
"BI.SP[31,7,9]";398;261,84247314057;160;160;320;480;1120;1,00112831690475;2000
"BI.SP[32,7,9]";200,24;236,038555112825;0;0;160;320;800;1,00507694142414;1600
"BI.SP[33,7,9]";368,48;247,166816781014;160;160;320;480;960;1,00074504685077;2000
"BI.SP[34,7,9]";449,84;278,532519793096;160;320;320;640;1120;1,00350454807538;720
"BI.SP[35,7,9]";230,48;270,95770636636;0;0;160;320;960;1,0011010572502;2000
"BI.SP[36,7,9]";196,48;243,871577419627;0;0;160;320;800;1,00232010965822;2000
"BI.SP[37,7,9]";208,8;252,993602451602;0;0;160;320;960;1,00254304848526;2000
"BI.SP[38,7,9]";254,72;294,383852353119;0;0;160;320;960;1,00367064297269;1700
"BI.SP[39,7,9]";446,56;315,742320581994;160;160;320;480;1280;1,00185786576139;1300
"BI.SP[40,7,9]";258,72;293,67717776901;0;0;160;320;1120;1,00144298706846;1700
"BI.SP[41,7,9]";431,6;304,832907591646;160;160;320;480;1280;1,00077172357354;2000
"BI.SP[42,7,9]";567,12;364,06974467744;160;320;480;640;1440;1,00109403266814;2000
"BI.SP[43,7,9]";191,84;242,944696305008;0;0;160;320;800;1,00374877129883;2000
"BI.SP[44,7,9]";174,96;227,614812020933;0;0;160;320;800;1,0046149631233;850
"BI.SP[45,7,9]";183,12;235,895928418706;0;0;160;320;800;1,00715322101143;1300
"BI.SP[46,7,9]";564,72;306,43085930723;160;320;480;640;1280;1,00016657046663;2000
"BI.SP[47,7,9]";199,92;250,003288822791;0;0;160;320;800;1,00289953906454;1100
"BI.SP[48,7,9]";385,84;266,271561891867;160;160;320;480;1120;1,00376335889141;730
"BI.SP[49,7,9]";229,6;273,512786944794;0;0;160;320;960;1,00142465358612;2000
"BI.SP[50,7,9]";473,52;350,22298278216;160;160;320;640;1440;1,00082623872707;2000
"BI.SP[51,7,9]";234,32;278,751841060192;0;0;160;320;960;1,00221849894398;2000
"BI.SP[52,7,9]";504,4;307,020147034924;160;320;480;640;1280;1,00156469783237;1600
"BI.SP[53,7,9]";475,84;290,785440636636;160;320;480;640;1123,74512666519;1,000126631563;2000
"BI.SP[54,7,9]";466,4;279,762351803709;160;320;480;640;1120;1,00151435402919;1700
"BI.SP[55,7,9]";211,76;248,698668902664;0;0;160;320;800;1,00092337192743;2000
"BI.SP[56,7,9]";494,08;303,032123435644;160;320;480;640;1280;1,00118240393716;2000
"BI.SP[57,7,9]";201,44;247,980389419743;0;0;160;320;800;1,00074814978735;2000
"BI.SP[58,7,9]";191,84;240,826936214794;0;0;160;320;800;1,00415152964279;1500
"BI.SP[59,7,9]";389,36;268,255793945801;160;160;320;480;1120;1,00049056815272;2000
"BI.SP[1,8,9]";0,0720000000000005;0,616243359346748;0;0;0;0;0;1,03363935816153;1900
"BI.SP[2,8,9]";0,0720000000000005;0,616243359346746;0;0;0;0;0;1,03956377379821;910
"BI.SP[3,8,9]";0,0675;0,565334902315329;0;0;0;0;0;1,00565223515866;2000
"BI.SP[4,8,9]";0,0787500000000004;0,590209802786814;0;0;0;0;0;1,02803928475094;980
"BI.SP[5,8,9]";0,0720000000000003;0,58243936835425;0;0;0;0;0;1,02817915027529;1600
"BI.SP[6,8,9]";0,0900000000000001;0,661527633137658;0;0;0;0;0;1,00684805457458;2000
"BI.SP[7,8,9]";0,0697499999999998;0,556025646674584;0;0;0;0;0;1,02479389699282;1200
"BI.SP[8,8,9]";0,0584999999999999;0,509860499415712;0;0;0;0;0;1,01988634117804;1800
"BI.SP[9,8,9]";0,0674999999999999;0,61675273973528;0;0;0;0;0;1,04350619194528;1900
"BI.SP[10,8,9]";0,0989999999999998;0,746644318848959;0;0;0;0;0;1,03778887038277;1100
"BI.SP[11,8,9]";0,0765000000000002;0,599021838985671;0;0;0;0;0;1,00841816170615;2000
"BI.SP[12,8,9]";0,06975;0,57395526813936;0;0;0;0;0;1,03396620321379;860
"BI.SP[13,8,9]";0,0517499999999999;0,47990842204194;0;0;0;0;0;1,00256698880634;2000
"BI.SP[14,8,9]";0,0562499999999999;0,519948180644256;0;0;0;0;0;1,00535628891467;2000
"BI.SP[15,8,9]";0,063;0,583481983965912;0;0;0;0;0;1,05395004483293;1300
"BI.SP[16,8,9]";0,06075;0,519441379920385;0;0;0;0;0;1,00536417247211;2000
"BI.SP[17,8,9]";0,04725;0,480372580824729;0;0;0;0;0;1,00019823503285;2000
"BI.SP[18,8,9]";0,0742500000000003;0,607697775043549;0;0;0;0;0;1,04300248827305;930
"BI.SP[19,8,9]";0,12375;0,801955425040498;0;0;0;0;4,5;1,00972330982947;1300
"BI.SP[20,8,9]";0,0742500000000001;0,624144787575695;0;0;0;0;0;1,00560257621532;2000
"BI.SP[21,8,9]";0,0697499999999999;0,573955268139357;0;0;0;0;0;1,02183842891484;1500
"BI.SP[22,8,9]";0,0742500000000002;0,624144787575696;0;0;0;0;0;1,01794293073869;2000
"BI.SP[23,8,9]";0,06525;0,608730411476981;0;0;0;0;0;1,05128267597589;1100
"BI.SP[24,8,9]";0,0832500000000003;0,623007629771384;0;0;0;0;0;1,00566749718138;2000
"BI.SP[25,8,9]";0,0810000000000002;0,615124531371135;0;0;0;0;0;1,02539395499186;1500
"BI.SP[26,8,9]";0,0765000000000005;0,599021838985674;0;0;0;0;0;1,01666189300316;2000
"BI.SP[27,8,9]";0,0629999999999999;0,54765953427539;0;0;0;0;0;1,01457876012261;2000
"BI.SP[28,8,9]";0,0742500000000005;0,573390203668334;0;0;0;0;0;1,04653532349335;620
